user_id,action_type,action_value,event_timestamp
user_3,view,1,2026-01-11T11:31:07.765879
user_3,view,1,2026-01-27T11:31:08.015255
user_1,click,1,2026-01-24T11:31:08.117688
user_5,click,1,2026-01-20T11:31:08.219356
user_1,view,1,2026-01-18T11:31:08.320785
user_3,purchase,617,2026-01-16T11:31:08.421652
user_4,view,1,2026-02-01T11:31:08.523100
user_3,view,1,2026-01-24T11:31:08.625429
user_5,view,1,2026-01-13T11:31:08.727373
user_3,view,1,2026-02-03T11:31:08.829127
user_4,purchase,662,2026-02-06T11:31:08.931111
user_4,view,1,2026-01-24T11:31:09.033274
user_5,purchase,1252,2026-02-04T11:31:09.135285
user_5,click,1,2026-02-09T11:31:09.237733
user_5,click,1,2026-02-04T11:31:09.339639
user_5,view,1,2026-01-19T11:31:09.441463
user_2,purchase,1068,2026-01-24T11:31:09.543795
user_3,purchase,1429,2026-02-06T11:31:09.645947
user_5,view,1,2026-02-01T11:31:09.748460
user_3,view,1,2026-02-05T11:31:09.850100
user_1,view,1,2026-01-16T11:31:09.952302
user_4,view,1,2026-02-07T11:31:10.054455
user_3,purchase,371,2026-01-17T11:31:10.156292
user_1,purchase,654,2026-02-10T11:31:10.258404
user_1,view,1,2026-01-11T11:31:10.360595
user_2,view,1,2026-01-24T11:31:10.462762
user_2,purchase,891,2026-02-09T11:31:10.565225
user_4,purchase,345,2026-01-15T11:31:10.667027
user_3,view,1,2026-01-20T11:31:10.769267
user_3,click,1,2026-02-03T11:31:10.871379
user_3,click,1,2026-01-15T11:31:10.973598
user_1,purchase,1268,2026-02-08T11:31:11.076114
user_2,click,1,2026-02-08T11:31:11.178384
user_4,purchase,1622,2026-01-15T11:31:11.281085
user_3,view,1,2026-02-07T11:31:11.383047
user_3,purchase,1897,2026-02-01T11:31:11.485385
user_5,click,1,2026-02-03T11:31:11.587392
user_3,click,1,2026-02-09T11:31:11.690156
user_3,click,1,2026-02-10T11:31:11.791893
user_2,click,1,2026-02-09T11:31:11.894337
user_3,click,1,2026-01-24T11:31:11.997192
user_2,purchase,455,2026-01-22T11:31:12.099246
user_3,view,1,2026-02-07T11:31:12.201432
user_3,view,1,2026-01-24T11:31:12.304283
user_3,purchase,1874,2026-01-18T11:31:12.406588
user_3,purchase,1486,2026-01-25T11:31:12.508910
user_1,purchase,1962,2026-02-07T11:31:12.611472
user_2,view,1,2026-01-15T11:31:12.714052
user_3,click,1,2026-01-13T11:31:12.816768
user_4,purchase,481,2026-02-05T11:31:12.918533
user_2,click,1,2026-01-20T14:54:30.250924
user_4,click,1,2026-01-28T14:54:30.485250
user_5,view,1,2026-01-30T14:54:30.586965
user_3,view,1,2026-02-09T14:54:30.688720
user_3,purchase,988,2026-01-21T14:54:30.791112
user_4,purchase,1694,2026-01-15T14:54:30.893294
user_1,click,1,2026-02-05T14:54:30.995288
user_1,click,1,2026-01-15T14:54:31.097683
user_3,purchase,250,2026-01-31T14:54:31.199737
user_4,view,1,2026-02-06T14:54:31.301789
user_1,purchase,1280,2026-01-31T14:54:31.403504
user_1,view,1,2026-01-17T14:54:31.505463
user_5,view,1,2026-02-05T14:54:31.607361
user_1,view,1,2026-01-25T14:54:31.709752
user_1,view,1,2026-02-06T14:54:31.811968
user_3,click,1,2026-01-28T14:54:31.914557
user_3,purchase,1493,2026-02-04T14:54:32.016496
user_3,view,1,2026-01-21T14:54:32.118722
user_1,view,1,2026-02-04T14:54:32.220324
user_5,click,1,2026-01-15T14:54:32.321711
user_3,purchase,221,2026-02-06T14:54:32.424672
user_2,purchase,549,2026-02-09T14:54:32.527357
user_5,purchase,686,2026-01-31T14:54:32.628841
user_5,view,1,2026-01-25T14:54:32.730549
user_1,view,1,2026-01-28T14:54:32.832363
user_3,click,1,2026-01-12T14:54:32.934198
user_3,purchase,885,2026-01-25T14:54:33.035789
user_5,purchase,1023,2026-01-29T14:54:33.138004
user_4,purchase,1833,2026-01-15T14:54:33.239608
user_4,purchase,1323,2026-02-04T14:54:33.342379
user_5,click,1,2026-01-16T14:54:33.444549
user_1,view,1,2026-01-15T14:54:33.546690
user_3,purchase,653,2026-02-05T14:54:33.648502
user_2,purchase,291,2026-01-22T14:54:33.750868
user_5,view,1,2026-01-21T14:54:33.852679
user_1,view,1,2026-01-18T14:54:33.954243
user_3,purchase,881,2026-02-02T14:54:34.056313
user_1,click,1,2026-01-16T14:54:34.158087
user_2,view,1,2026-01-17T14:54:34.260134
user_2,click,1,2026-01-14T14:54:34.362181
user_4,click,1,2026-01-25T14:54:34.463844
user_4,click,1,2026-01-24T14:54:34.566025
user_2,click,1,2026-01-28T14:54:34.667674
user_3,view,1,2026-01-30T14:54:34.769432
user_4,view,1,2026-01-13T14:54:34.872120
user_3,view,1,2026-01-11T14:54:34.973775
user_5,click,1,2026-01-28T14:54:35.075468
user_2,purchase,1278,2026-02-01T14:54:35.177370
user_3,click,1,2026-01-16T14:54:35.279025
user_2,view,1,2026-01-25T14:54:35.380741
user_2,click,1,2026-01-20T14:54:30.250924
user_4,click,1,2026-01-28T14:54:30.485250
user_5,view,1,2026-01-30T14:54:30.586965
user_3,view,1,2026-02-09T14:54:30.688720
user_3,purchase,988,2026-01-21T14:54:30.791112
user_4,purchase,1694,2026-01-15T14:54:30.893294
user_1,click,1,2026-02-05T14:54:30.995288
user_1,click,1,2026-01-15T14:54:31.097683
user_3,purchase,250,2026-01-31T14:54:31.199737
user_4,view,1,2026-02-06T14:54:31.301789
user_1,purchase,1280,2026-01-31T14:54:31.403504
user_1,view,1,2026-01-17T14:54:31.505463
user_5,view,1,2026-02-05T14:54:31.607361
user_1,view,1,2026-01-25T14:54:31.709752
user_1,view,1,2026-02-06T14:54:31.811968
user_3,click,1,2026-01-28T14:54:31.914557
user_3,purchase,1493,2026-02-04T14:54:32.016496
user_3,view,1,2026-01-21T14:54:32.118722
user_1,view,1,2026-02-04T14:54:32.220324
user_5,click,1,2026-01-15T14:54:32.321711
user_3,purchase,221,2026-02-06T14:54:32.424672
user_2,purchase,549,2026-02-09T14:54:32.527357
user_5,purchase,686,2026-01-31T14:54:32.628841
user_5,view,1,2026-01-25T14:54:32.730549
user_1,view,1,2026-01-28T14:54:32.832363
user_3,click,1,2026-01-12T14:54:32.934198
user_3,purchase,885,2026-01-25T14:54:33.035789
user_5,purchase,1023,2026-01-29T14:54:33.138004
user_4,purchase,1833,2026-01-15T14:54:33.239608
user_4,purchase,1323,2026-02-04T14:54:33.342379
user_5,click,1,2026-01-16T14:54:33.444549
user_1,view,1,2026-01-15T14:54:33.546690
user_3,purchase,653,2026-02-05T14:54:33.648502
user_2,purchase,291,2026-01-22T14:54:33.750868
user_5,view,1,2026-01-21T14:54:33.852679
user_1,view,1,2026-01-18T14:54:33.954243
user_3,purchase,881,2026-02-02T14:54:34.056313
user_1,click,1,2026-01-16T14:54:34.158087
user_2,view,1,2026-01-17T14:54:34.260134
user_2,click,1,2026-01-14T14:54:34.362181
user_4,click,1,2026-01-25T14:54:34.463844
user_4,click,1,2026-01-24T14:54:34.566025
user_2,click,1,2026-01-28T14:54:34.667674
user_3,view,1,2026-01-30T14:54:34.769432
user_4,view,1,2026-01-13T14:54:34.872120
user_3,view,1,2026-01-11T14:54:34.973775
user_5,click,1,2026-01-28T14:54:35.075468
user_2,purchase,1278,2026-02-01T14:54:35.177370
user_3,click,1,2026-01-16T14:54:35.279025
user_2,view,1,2026-01-25T14:54:35.380741
user_2,view,1,2026-01-22T16:19:07.509539
user_2,click,1,2026-01-31T16:19:07.789509
user_2,purchase,1529,2026-01-16T16:19:07.891725
user_2,click,1,2026-01-15T16:19:07.993912
user_4,view,1,2026-02-10T16:19:08.095857
user_5,view,1,2026-02-05T16:19:08.198134
user_3,click,1,2026-02-09T16:19:08.300195
user_4,purchase,1827,2026-01-23T16:19:08.401944
user_1,view,1,2026-01-29T16:19:08.503586
user_3,purchase,1561,2026-02-09T16:19:08.605988
user_2,view,1,2026-01-24T16:19:08.710602
user_4,purchase,830,2026-01-13T16:19:08.812545
user_5,view,1,2026-02-08T16:19:08.914420
user_4,click,1,2026-01-30T16:19:09.016195
user_5,view,1,2026-01-24T16:19:09.118374
user_2,click,1,2026-02-10T16:19:09.220426
user_2,click,1,2026-02-10T16:19:09.321828
user_2,click,1,2026-01-28T16:19:09.423779
user_4,click,1,2026-01-22T16:19:09.526502
user_3,view,1,2026-02-07T16:19:09.628452
user_1,click,1,2026-01-27T16:19:09.729997
user_5,purchase,1006,2026-01-25T16:19:09.833003
user_4,view,1,2026-01-29T16:19:09.935899
user_4,click,1,2026-02-03T16:19:10.038529
user_4,purchase,1815,2026-01-25T16:19:10.140237
user_1,view,1,2026-02-03T16:19:10.242365
user_1,purchase,1058,2026-01-11T16:19:10.344662
user_2,purchase,1124,2026-01-25T16:19:10.446817
user_3,click,1,2026-02-01T16:19:10.549769
user_3,view,1,2026-01-22T16:19:10.651831
user_4,click,1,2026-01-14T16:19:10.753816
user_1,view,1,2026-01-25T16:19:10.855821
user_4,click,1,2026-01-30T16:19:10.958101
user_5,view,1,2026-01-24T16:19:11.060110
user_4,view,1,2026-01-22T16:19:11.162374
user_5,view,1,2026-01-21T16:19:11.264488
user_2,click,1,2026-01-14T16:19:11.366359
user_1,click,1,2026-02-05T16:19:11.468704
user_2,view,1,2026-01-31T16:19:11.571287
user_2,view,1,2026-01-21T16:19:11.673379
user_1,view,1,2026-02-01T16:19:11.775756
user_3,purchase,1986,2026-01-16T16:19:11.877746
user_4,purchase,200,2026-02-06T16:19:11.980032
user_5,purchase,514,2026-01-13T16:19:12.082131
user_2,purchase,119,2026-01-29T16:19:12.183882
user_5,view,1,2026-02-03T16:19:12.287016
user_2,view,1,2026-01-13T16:19:12.388671
user_5,click,1,2026-01-22T16:19:12.490688
user_5,click,1,2026-01-21T16:19:12.592568
user_3,click,1,2026-01-21T16:19:12.694608
